Autores;País dos autores;Instituição dos autores
Cláudia Killer, Sueli Cavalcante;Brasil;UFRJ
Julio Leite;Brasil;PUC-Rio
José Oliveira, Duncan Ruiz, Norberto Hoppen;Brasil;UFRGS
Carlos Toledo, Claudia Medeiros;Brasil;CTI, UNICAMP
Julio Leite, Ana Franco;Brasil;PUC-Rio
Stanley Loh, Cesar Poeta, José Castilho;Brasil;UFRGS
Nina Edelweiss, José Oliveira, José Castilho, Barbara Pernici;Brasil, Itália;UFRGS, UNIUD
Ana Gllvaz, Julio Leite;Brasil;PUC-Rio
Antônio Oliveira, Julio Leite;Brasil;PETROBRÁS - SERINF, PUC-Rio
Silvia Massruhá, Mário Ferraretto, Fernando Máximo, Carlos Meira, Sérgio Passos, Marcos Visoli;Brasil;CNPTIA, USP
Karin Breitman, Daniel Berry;Israel;Faculty of Computer Science
Soeli Fiorini, Julio Leite, T. Macedo-Soares;Brasil;PUC-Rio
Sérgio Zirbes;Brasil;UFRGS
Jaelson Castro, Christian Gautreau, Marco Céspedes;Brasil;UFPE
Tereza Kirner, Antônio Prado, Maria Lima, Rogéria Gratão;Brasil;UFSCar
Milene Serrano, A.V. Staa;Brasil;PUC-Rio
Luiz Cysneiros, Julio Leite;Brasil;PUC-Rio
Maria Lima, Tathiana Barrére, Antônio Prado, Andre Couto;Brasil;UFSCar
Maria Leonard, Julio Leite, Gustavo Rossi;Brasil, Argentina;UNICEN, UNLP, PUC-Rio
Fernanda Alencar, Jaelson Castro;Brasil;UFPE
Luiz Martins, Beatriz Daltrini;Brasil;Unimep, UNICAMP
Xavier Burgués, Xavier Franch;Espanha;UPC
Jaime Sabát Neto, Julio Leite;Brasil;PUC-Rio
Jaelson Castro, Fernanda Alencar, Gilberto Cysneiros;Brasil;UFPE
Luiz Cysneiros, Julio Leite;Canadá, Brasil;University of Toronto, PUC-Rio
Hamilton Oliveira, Cleber Rocha, Kleder Gonçalves, Cleidson Souza;Brasil, Estados Unidos;UFPA, University of California
Carina Alves, Jaelson Castro;Brasil;UFPE
Fábio Paim, Ana Carvalho, Jaelson Castro;Brasil;UFPE
Tiago Reis, Jaelson Castro, Luis Olsina;Brasil, Argentina;UFPE, UNLPam
Victor Santander, Jaelson Castro;Brasil;UFPE
Ulf Bergmann, Julio Leite, Karin Breitman;Brasil;IME, PUC-Rio
Hugo Estrada, Jaelson Castro, Oscar Pastor, Alicia Martínez;Espanha, México, Brasil;UPV, CENIDET, UFPE
Geórgia Sousa, Ismênia Silva, Jaelson Castro;Brasil;UFPE
Ricardo Ramos, Rosângela Penteado, Paulo Masiero;Brasil;UFSCar, USP
Lyrene Silva, Julio Leite;Brasil;PUC-Rio
Rosa Pinto, Carla Silva, Jaelson Castro;Brasil;UFPE
Anderson Belgamo, Sandra Fabbri;Brasil;UFSCar
Ana Medeiros, Lyrene Silva, Thais Batista, Leonardo Minora;Brasil;UFRN, UERN, CEFET-RN
